"","Occupation","Total_Number_Of_Workers","Total_Median_Weekly_Earnings","Male_Number_Of_Workers","Male_Median_Weekly_Earnings","Female_Number_Of_Workers","Female_Median_Weekly_Earnings"
"1","Total, full-time wage and salary workers","115567","886","64142","973","51425","789"
"2","Management, professional, and related occupations","48808","1246","23685","1468","25123","1078"
"3","Management, business, and financial operations occupations","19863","1355","10668","1537","9195","1168"
"4","Management occupations","13477","1429","7754","1585","5724","1236"
"5","Chief executives","1098","2291","790","2488","307","1736"
"6","General and operations managers","939","1338","656","1427","283","1139"
"7","Marketing and sales managers","963","1567","517","1852","447","1362"
"8","Computer and information systems managers","601","1877","448","1920","153","1727"
"9","Financial managers","1158","1466","495","1784","663","1262"
"10","Human resources managers","294","1381","73","1761","221","1330"
"11","Industrial production managers","243","1465","188","1573","55","1296"
"12","Purchasing managers","222","1362","123","1431","99","1229"
"13","Construction managers","625","1431","572","1467","53","1202"
"14","Education administrators","857","1381","294","1563","563","1245"
"15","Food service managers","827","809","420","922","407","708"
"16","Medical and health services managers","567","1408","149","1729","418","1331"
"17","Property, real estate, and community association managers","390","1018","181","1148","208","927"
"18","Social and community service managers","363","1141","112","1336","251","1057"
"19","Managers, all other","3285","1525","2022","1628","1263","1341"
"20","Business and financial operations occupations","6385","1216","2914","1383","3471","1105"
"21","Wholesale and retail buyers, except farm products","147","878","82","878","65","880"
"22","Purchasing agents, except wholesale, retail, and farm products","223","1160","121","1209","102","1032"
"23","Claims adjusters, appraisers, examiners, and investigators","334","998","145","1167","189","913"
"24","Compliance officers","278","1296","129","1450","149","1165"
"25","Human resources workers","620","1161","190","1328","429","1107"
"26","Management analysts","635","1532","356","1642","279","1437"
"27","Market research analysts and marketing specialists","299","1246","125","1503","174","1148"
"28","Business operations specialists, all other","223","1150","95","1234","127","1072"
"29","Accountants and auditors","1615","1209","646","1404","969","1108"
"30","Financial analysts","261","1470","138","1599","122","1197"
"31","Personal financial advisors","414","1473","268","1647","146","1207"
"32","Insurance underwriters","122","1268","51","1413","71","1032"
"33","Credit counselors and loan officers","332","1168","155","1443","177","948"
"34","Professional and related occupations","28945","1176","13017","1425","15929","1024"
"35","Computer and mathematical occupations","4755","1539","3571","1604","1184","1345"
"36","Computer systems analysts","580","1521","358","1647","222","1246"
"37","Computer programmers","428","1591","338","1662","91","1445"
"38","Software developers, applications and systems software","1611","1864","1283","1894","327","1644"
"39","Computer support specialists","516","1085","376","1114","140","1015"
"40","Computer occupations, all other","678","1226","548","1238","131","1208"
"41","Operations research analysts","125","1418","66","1566","58","1299"
"42","Architecture and engineering occupations","2994","1484","2541","1528","453","1259"
"43","Architects, except naval","170","1464","118","1538","52","1301"
"44","Civil engineers","410","1495","346","1551","63","1282"
"45","Industrial engineers, including health and safety","245","1499","191","1571","54","1163"
"46","Engineers, all other","528","1575","463","1610","65","1356"
"47","Engineering technicians, except drafters","398","1129","332","1154","66","934"
"48","Life, physical, and social science occupations","1308","1270","733","1357","575","1156"
"49","Medical scientists","160","1319","80","1416","81","1156"
"50","Physical scientists, all other","289","1455","169","1582","120","1341"
"51","Miscellaneous life, physical, and social science technicians","124","862","66","893","58","856"
"52","Community and social service occupations","2223","913","754","984","1469","886"
"53","Counselors","705","941","199","1004","506","913"
"54","Social workers","753","907","141","958","611","897"
"55","Clergy","337","990","268","1036","68","855"
"56","Legal occupations","1466","1467","651","1910","815","1243"
"57","Lawyers","853","1947","509","2202","344","1762"
"58","Paralegals and legal assistants","413","948","54","917","359","953"
"59","Education, training, and library occupations","7166","1002","1915","1235","5251","934"
"60","Postsecondary teachers","994","1439","534","1603","460","1253"
"61","Elementary and middle school teachers","3030","1010","620","1148","2410","982"
"62","Secondary school teachers","948","1141","392","1226","556","1092"
"63","Other teachers and instructors","388","957","172","1095","215","840"
"64","Teacher assistants","615","556","62","584","553","550"
"65","Arts, design, entertainment, sports, and media occupations","1880","1086","1052","1151","828","997"
"66","Designers","684","1060","357","1169","327","932"
"67","Editors","124","1112","57","1104","67","1138"
"68","Healthcare practitioners and technical occupations","7154","1140","1800","1383","5354","1078"
"69","Pharmacists","263","2071","98","2271","165","1890"
"70","Physicians and surgeons","827","2001","475","2513","352","1677"
"71","Physical therapists","209","1395","71","1410","139","1387"
"72","Registered nurses","2584","1167","315","1271","2270","1156"
"73","Clinical laboratory technologists and technicians","290","893","75","819","215","911"
"74","Diagnostic related technologists and technicians","269","1140","97","1232","172","1061"
"75","Emergency medical technicians and paramedics","180","894","122","943","59","764"
"76","Health practitioner support technologists and technicians","542","691","112","807","431","655"
"77","Licensed practical and licensed vocational nurses","490","757","56","936","434","743"
"78","Service occupations","16288","569","7948","641","8340","511"
"79","Healthcare support occupations","2595","561","361","661","2235","548"
"80","Nursing, psychiatric, and home health aides","1419","516","154","558","1265","513"
"81","Miscellaneous healthcare support occupations, including medical equipment preparers","154","598","61","703","93","559"
"82","Protective service occupations","2836","848","2258","922","578","613"
"83","Bailiffs, correctional officers, and jailers","394","742","289","811","105","646"
"84","Police and sheriff's patrol officers","728","1092","622","1131","106","816"
"85","Security guards and gaming surveillance officers","781","596","594","636","187","506"
"86","Food preparation and serving related occupations","4394","501","2210","533","2184","473"
"87","Chefs and head cooks","365","615","300","624","65","562"
"88","First-line supervisors of food preparation and serving workers","397","583","166","668","231","539"
"89","Cooks","1325","486","804","518","521","437"
"90","Food preparation workers","473","463","206","486","267","446"
"91","Bartenders","275","581","124","601","151","560"
"92","Combined food preparation and serving workers, including fast food","147","436","64","410","83","475"
"93","Waiters and waitresses","932","496","321","551","611","478"
"94","Dining room and cafeteria attendants and bartender helpers","118","447","59","500","58","408"
"95","Building and grounds cleaning and maintenance occupations","3695","551","2373","604","1322","477"
"96","First-line supervisors of housekeeping and janitorial workers","193","711","116","772","77","615"
"97","Janitors and building cleaners","1672","571","1193","607","480","491"
"98","Maids and housekeeping cleaners","825","467","102","559","723","457"
"99","Personal care and service occupations","2768","544","746","638","2022","517"
"100","Miscellaneous personal appearance workers","258","523","52","615","206","512"
"101","Personal care aides","786","500","132","555","654","493"
"102","Recreation and fitness workers","208","603","100","724","109","543"
"103","Sales and office occupations","23714","742","9548","846","14166","696"
"104","Sales and related occupations","10077","798","5621","949","4455","651"
"105","First-line supervisors of retail sales workers","2421","795","1359","911","1062","672"
"106","First-line supervisors of non-retail sales workers","893","1153","588","1199","305","1054"
"107","Cashiers","1390","465","377","468","1013","463"
"108","Retail salespersons","1860","657","1144","764","716","543"
"109","Advertising sales agents","169","998","91","950","79","1053"
"110","Insurance sales agents","466","859","205","1048","261","809"
"111","Securities, commodities, and financial services sales agents","197","1440","131","1639","66","1047"
"112","Sales representatives, services, all other","427","1230","315","1345","113","933"
"113","Sales representatives, wholesale and manufacturing","1112","1161","817","1239","295","1009"
"114","Real estate brokers and sales agents","528","1019","236","1264","291","883"
"115","Sales and related workers, all other","227","1036","118","1323","109","873"
"116","Office and administrative support occupations","13637","717","3926","738","9711","711"
"117","First-line supervisors of office and administrative support workers","1279","885","386","1050","892","835"
"118","Billing and posting clerks","417","721","56","664","361","725"
"119","Bookkeeping, accounting, and auditing clerks","679","742","104","778","575","739"
"120","Customer service representatives","1904","683","678","689","1226","680"
"121","Receptionists and information clerks","934","605","81","593","853","606"
"122","Reservation and transportation ticket agents and travel clerks","109","745","50","681","60","766"
"123","Dispatchers","270","783","108","926","162","725"
"124","Postal service clerks","115","765","51","758","63","771"
"125","Postal service mail carriers","288","931","170","983","118","808"
"126","Production, planning, and expediting clerks","252","870","119","1004","134","790"
"127","Shipping, receiving, and traffic clerks","524","632","365","654","160","590"
"128","Stock clerks and order fillers","988","562","629","558","359","570"
"129","Secretaries and administrative assistants","1977","759","122","903","1855","753"
"130","Data entry keyers","224","655","52","730","173","643"
"131","Office clerks, general","925","697","128","670","797","701"
"132","Office and administrative support workers, all other","456","794","104","920","352","762"
"133","Natural resources, construction, and maintenance occupations","11546","824","11030","834","516","638"
"134","Farming, fishing, and forestry occupations","850","581","667","602","183","483"
"135","Miscellaneous agricultural workers","641","552","512","578","130","474"
"136","Construction and extraction occupations","6414","808","6223","809","191","785"
"137","Installation, maintenance, and repair occupations","4282","934","4140","936","142","823"
"138","Production, transportation, and material moving occupations","15210","707","11932","762","3279","561"
"139","Production occupations","7668","723","5627","793","2041","575"
"140","First-line supervisors of production and operating workers","792","980","642","1050","150","745"
"141","Electrical, electronics, and electromechanical assemblers","110","605","57","706","53","518"
"142","Miscellaneous assemblers and fabricators","989","663","641","723","348","583"
"143","Bakers","151","549","61","565","89","533"
"144","Butchers and other meat, poultry, and fish processing workers","223","606","158","632","65","557"
"145","Food processing workers, all other","142","624","90","749","52","539"
"146","Metal workers and plastic workers, all other","356","698","290","724","66","611"
"147","Inspectors, testers, sorters, samplers, and weighers","756","771","490","868","267","679"
"148","Packaging and filling machine operators and tenders","250","529","110","602","140","496"
"149","Production workers, all other","992","678","729","725","263","566"
"150","Transportation and material moving occupations","7542","689","6305","724","1237","538"
"151","Bus drivers","361","655","216","735","144","599"
"152","Driver/sales workers and truck drivers","2791","817","2636","829","155","559"
"153","Taxi drivers and chauffeurs","399","611","341","628","58","450"
"154","Laborers and freight, stock, and material movers, hand","1595","603","1277","620","318","541"
"155","Packers and packagers, hand","490","495","205","516","285","484"
